"","COSPARID","RSO_NAME","RSO_TYPE","PAYLOAD_OPERATIONAL_STATUS","ORBIT_TYPE","APPLICATION","SOURCE","LAUNCH_SITE","LAUNCH_DATE","DECAY_DATE","ORBITAL_PERIOD","12","13","14","INCLINATION","APOGEE","PERIGEE","18","19","20","21","22","23","a","e","i","w","W","V","X_","Y_","Z_","33","34","35","36","37","38","39","40","41","42","LAUNCH_YEAR"
"15402","2019-013B","SL-4 R/B","rb","D","u","u","CIS","TYMSC","2019-03-14","2019-03-17",87.5,0,0,0,51.6,154,150,0,0,0,"u","","1858-11-16",6600,0,0,0,0,0,6600,0,0,0,7.77136,0,0,0,0,0,0,0,1858,2019-01-01
"15403","2019-014A","WGS 10 (USA 291)","plat","+","u","u","US","AFETR","2019-03-16","1858-11-16",1437.7,0,0,0,0.1,37701,33936,0,0,0,"u","","2022-10-18",42165.8,0.061841,0.00181445,4.70449,4.96395,0.649374,-14351.6,39182.2,-7.52405,-2.8466,-1.24436,-0.00556448,4404.16,41494.7,-37.7938,-0.0777297,-0.182227,-0.0118339,2022,2019-01-01
"15404","2019-015A","PRISMA","plat","+","u","u","IT","FRGUI","2019-03-22","1858-11-16",97.1,0,0,0,97.9,619,617,0,0,0,"u","","2022-08-14",6999.25,0.000677825,1.70856,1.69811,5.30382,1.86052,-3245.42,5530.52,-2808.74,2.48807,-2.00496,-6.83496,-5953.01,2375.34,-2815.65,3.37974,0.389107,-6.82958,2022,2019-01-01
"15405","2019-016A","R3D2","plat","+","u","u","US","RLLB","2019-03-28","1858-11-16",93.1,0,0,0,39.5,434,422,0,0,0,"u","","2022-09-23",6805.29,0.00131252,0.689421,2.54595,3.54547,5.61401,3848.73,-3794.85,4123.48,6.01427,4.51172,-1.47168,3736.69,-3896.46,4131.76,5.85203,4.07648,-1.4584,2022,2019-01-01
"15406","2019-016B","ELECTRON R/B","rb","","u","u","US","RLLB","2019-03-28","1858-11-16",93,0,0,0,39.5,431,414,0,0,0,"u","","2022-11-02",6711.16,0.000902608,0.689243,2.218,3.21428,2.54319,-702.73,5139.42,-4266.08,-7.65086,-0.844774,0.236405,2845.47,4335.77,-4267.47,-6.01571,4.1702,0.219604,2022,2019-01-01
"15407","2019-016C","ELECTRON R/B","rb","D","u","u","US","RLLB","2019-03-28","2019-04-15",87.6,0,0,0,39.5,168,147,0,0,0,"u","","1858-11-16",6600,0,0,0,0,0,6600,0,0,0,7.77136,0,0,0,0,0,0,0,1858,2019-01-01
"15408","2019-017A","TIANLIAN 2-01","plat","+","u","u","PRC","XICLF","2019-03-31","1858-11-16",1436,0,0,0,2.9,35924,35647,0,0,0,"u","","2022-10-18",42166.4,0.00316852,0.0511679,3.47687,5.06823,5.26342,31991.5,-27651.1,1042.4,1.99845,2.31981,0.137323,16511.2,-38926.5,1111.61,-0.0220253,-0.00352939,0.141764,2022,2019-01-01
"15409","2019-017B","CZ-3B R/B","rb","","u","u","PRC","XICLF","2019-03-31","1858-11-16",608,0,0,0,27.2,34604,184,0,0,0,"u","","2022-08-07",23788.6,0.724658,0.475852,3.69388,0.778636,0.497165,586.374,34956,12611.8,-1.72815,-1.29806,0.149268,-24229.4,25202.1,12614,1.52554,-0.372103,0.14548,2022,2019-01-01
"15410","2019-018A","EMISAT","plat","+","u","u","IND","SRILR","2019-04-01","1858-11-16",99.7,0,0,0,98.4,761,732,0,0,0,"u","","2022-09-03",7127.01,0.00335162,1.71696,1.45006,5.28609,5.26451,3143.71,-5663.11,2943.01,-2.54205,2.10999,6.72399,4747.41,-4401.87,2949.69,-3.40827,0.860733,6.71849,2022,2019-01-01
"15411","2019-018B","FLOCK 4A-1","plat","+","u","u","US","SRILR","2019-04-01","1858-11-16",94.7,0,0,0,97.5,512,492,0,0,0,"u","","2022-10-13",6873.66,0.00291498,1.70091,1.50249,6.16275,1.21986,-6270.18,393.507,2771.62,-2.99103,1.2708,-6.89533,-5707.03,2641.13,2757.91,-2.12046,2.67923,-6.90182,2022,2019-01-01
