"","OBJECT_NAME","OBJECT_ID","NORAD_CAT_ID","OBJECT_TYPE","OPS_STATUS_CODE","OWNER","LAUNCH_DATE","LAUNCH_SITE","DECAY_DATE","PERIOD","INCLINATION","APOGEE","PERIGEE","RCS","DATA_STATUS_CODE","ORBIT_CENTER","ORBIT_TYPE","LAUNCH_YEAR"
"46827","NUSAT-12 (DOROTHY)","2020-079A",46827,"PAY","+","ARGN","2020-11-06","TAISC",NA,93.45,97.18,448,438,NA,NA,"EA","ORB",2020-01-01
"46828","NUSAT-9 (ALICE)","2020-079B",46828,"PAY","+","ARGN","2020-11-06","TAISC",NA,93.41,97.17,443,440,NA,NA,"EA","ORB",2020-01-01
"46829","NUSAT-11 (CORA)","2020-079C",46829,"PAY","+","ARGN","2020-11-06","TAISC",NA,93.41,97.18,445,438,NA,NA,"EA","ORB",2020-01-01
"46830","NUSAT-15 (KATHERINE)","2020-079D",46830,"PAY","+","ARGN","2020-11-06","TAISC",NA,93.41,97.19,444,439,NA,NA,"EA","ORB",2020-01-01
"46831","NUSAT-14 (HEDY)","2020-079E",46831,"PAY","+","ARGN","2020-11-06","TAISC",NA,93.35,97.19,443,434,NA,NA,"EA","ORB",2020-01-01
"46832","NUSAT-10 (CAROLINE)","2020-079F",46832,"PAY","+","ARGN","2020-11-06","TAISC",NA,93.44,97.19,447,439,NA,NA,"EA","ORB",2020-01-01
"46833","NUSAT-13 (EMMY)","2020-079G",46833,"PAY","+","ARGN","2020-11-06","TAISC",NA,93.45,97.19,448,440,NA,NA,"EA","ORB",2020-01-01
"46834","OBJECT H","2020-079H",46834,"UNK",NA,"PRC","2020-11-06","TAISC",NA,93.12,97.19,431,423,NA,NA,"EA","ORB",2020-01-01
"46835","NUSAT-17 (MARY)","2020-079J",46835,"PAY","+","ARGN","2020-11-06","TAISC",NA,93.46,97.19,448,440,NA,NA,"EA","ORB",2020-01-01
"46836","NUSAT-18 (VERA)","2020-079K",46836,"PAY","+","ARGN","2020-11-06","TAISC",NA,93.43,97.19,447,438,NA,NA,"EA","ORB",2020-01-01
"46837","OBJECT L","2020-079L",46837,"PAY","+","TBD","2020-11-06","TAISC",NA,93.33,97.19,441,434,NA,NA,"EA","ORB",2020-01-01
"46838","OBJECT M","2020-079M",46838,"PAY","+","TBD","2020-11-06","TAISC",NA,93.31,97.19,439,434,NA,NA,"EA","ORB",2020-01-01
"46839","BY70-3","2020-079N",46839,"PAY","+","PRC","2020-11-06","TAISC",NA,93.01,97.19,425,419,NA,NA,"EA","ORB",2020-01-01
"46840","NUSAT-16 (LISE)","2020-079P",46840,"PAY","+","ARGN","2020-11-06","TAISC",NA,93.42,97.19,445,439,NA,NA,"EA","ORB",2020-01-01
"46841","CZ-6 R/B","2020-079Q",46841,"R/B","D","PRC","2020-11-06","TAISC","2020-12-21",87.22,97.23,154,119,NA,NA,"EA","IMP",2020-01-01
"46904","TIANQI-11","2020-080A",46904,"PAY","+","PRC","2020-11-07","JSC",NA,93.9,97.48,472,458,NA,NA,"EA","ORB",2020-01-01
"46905","RISAT-2BR2","2020-081A",46905,"PAY","+","IND","2020-11-07","SRILR",NA,96.1,36.9,576,567,NA,NA,"EA","ORB",2020-01-01
"46906","KSM1-C","2020-081B",46906,"PAY","+","LUXE","2020-11-07","SRILR",NA,95.93,36.89,568,560,NA,NA,"EA","ORB",2020-01-01
"46907","KSM1-D","2020-081C",46907,"PAY","+","LUXE","2020-11-07","SRILR",NA,95.93,36.9,568,559,NA,NA,"EA","ORB",2020-01-01
"46908","LEMUR-2-OZARAK","2020-081D",46908,"PAY","+","US","2020-11-07","SRILR",NA,95.79,36.9,562,552,NA,NA,"EA","ORB",2020-01-01
"46909","LEMUR-2-JINDRA","2020-081E",46909,"PAY","+","US","2020-11-07","SRILR",NA,95.75,36.9,561,549,NA,NA,"EA","ORB",2020-01-01
"46910","LEMUR-2-WALLACE","2020-081F",46910,"PAY","+","US","2020-11-07","SRILR",NA,95.77,36.9,562,549,NA,NA,"EA","ORB",2020-01-01
"46911","LEMUR-2-JEREMIAH","2020-081G",46911,"PAY","+","US","2020-11-07","SRILR",NA,95.78,36.91,561,551,NA,NA,"EA","ORB",2020-01-01
"46912","KSM1-A","2020-081H",46912,"PAY","+","LUXE","2020-11-07","SRILR",NA,95.93,36.9,566,561,NA,NA,"EA","ORB",2020-01-01
"46913","R2","2020-081J",46913,"PAY","+","LTU","2020-11-07","SRILR",NA,95.91,36.9,570,555,NA,NA,"EA","ORB",2020-01-01
"46914","KSM1-B","2020-081K",46914,"PAY","+","LUXE","2020-11-07","SRILR",NA,95.93,36.9,570,557,NA,NA,"EA","ORB",2020-01-01
"46915","PSLV R/B","2020-081L",46915,"R/B",NA,"IND","2020-11-07","SRILR",NA,95.39,36.85,564,511,NA,NA,"EA","ORB",2020-01-01
"46916","TIANTONG-1 2","2020-082A",46916,"PAY","+","PRC","2020-11-12","XICLF",NA,1436.05,3.84,35794,35777,NA,NA,"EA","ORB",2020-01-01
"46917","CZ-3B R/B","2020-082B",46917,"R/B","D","PRC","2020-11-12","XICLF","2021-02-28",93.89,28.08,833,96,NA,NA,"EA","IMP",2020-01-01
"46918","USA 310","2020-083A",46918,"PAY","+","US","2020-11-13","AFETR",NA,382.8,58.43,11097,11075,NA,"NEA","EA","ORB",2020-01-01
"46919","ATLAS 5 CENTAUR R/B","2020-083B",46919,"R/B",NA,"US","2020-11-13","AFETR",NA,372.68,58.72,11014,10539,NA,"NEA","EA","ORB",2020-01-01
"46920","CREW DRAGON 1","2020-084A",46920,"PAY","D","US","2020-11-16","AFETR","2021-05-02",92.73,51.64,411,406,NA,NA,"EA","LAN",2020-01-01
"46928","AC 10A PROBE (GOLF)","2019-022N",46928,"PAY","D","US","2019-04-17","WLPIS","2021-02-13",92.05,51.62,376,374,NA,NA,"EA","IMP",2019-01-01
"46929","OBJECT A","2020-085A",46929,"UNK",NA,"TBD","2020-11-20","RLLB",NA,94,97.46,477,464,NA,NA,"EA","ORB",2020-01-01
"46930","ELECTRON R/B","2020-085B",46930,"R/B","D","US","2020-11-20","RLLB","2020-11-30",87.54,97.35,173,132,NA,NA,"EA","IMP",2020-01-01
"46931","CORVUS BC5","2020-085C",46931,"PAY","+","US","2020-11-20","RLLB",NA,94.19,97.46,489,470,NA,NA,"EA","ORB",2020-01-01
"46932","OBJECT D","2020-085D",46932,"UNK",NA,"TBD","2020-11-20","RLLB",NA,94.17,97.45,488,469,NA,NA,"EA","ORB",2020-01-01
"46933","SPACEBEE-34","2020-085E",46933,"PAY","D","US","2020-11-20","RLLB","2022-10-12",90.19,97.42,293,274,NA,NA,"EA","IMP",2020-01-01
"46934","SPACEBEE-35","2020-085F",46934,"PAY","+","US","2020-11-20","RLLB",NA,90.37,97.42,302,283,NA,NA,"EA","ORB",2020-01-01
"46935","SPACEBEE-36","2020-085G",46935,"PAY","+","US","2020-11-20","RLLB",NA,91.28,97.43,347,328,NA,NA,"EA","ORB",2020-01-01
"46936","SPACEBEE-37","2020-085H",46936,"PAY","+","US","2020-11-20","RLLB",NA,91.94,97.45,375,364,NA,NA,"EA","ORB",2020-01-01
"46937","SPACEBEE-38","2020-085J",46937,"PAY","+","US","2020-11-20","RLLB",NA,91.96,97.43,377,364,NA,NA,"EA","ORB",2020-01-01
"46938","SPACEBEENZ-3","2020-085K",46938,"PAY","+","NZ","2020-11-20","RLLB",NA,93.51,97.45,454,439,NA,NA,"EA","ORB",2020-01-01
"46939","SPACEBEENZ-4","2020-085L",46939,"PAY","+","NZ","2020-11-20","RLLB",NA,93.56,97.44,458,440,NA,NA,"EA","ORB",2020-01-01
