"","COSPARID","RSO_NAME","RSO_TYPE","PAYLOAD_OPERATIONAL_STATUS","ORBIT_TYPE","APPLICATION","SOURCE","LAUNCH_SITE","LAUNCH_DATE","DECAY_DATE","ORBITAL_PERIOD","12","13","14","INCLINATION","APOGEE","PERIGEE","18","19","20","21","22","23","a","e","26","27","28","29","X_","Y_","Z_","33","34","35","36","37","38","39","40","41","42","LAUNCH_YEAR","count"
"15522","2019-029BC","Starlink55","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-11-16",6917,0,0.925025,0,0,0.600182,6917,0,0,0,4.56849,6.0626,3893.66,-5717,15.1938,3.35141,2.29865,6.0627,2022,2019-01-01,1
"15523","2019-029BD","Starlink56","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-11-04",6917,0,0.925025,0,0,0.0939744,6917,0,0,0,4.56849,6.0626,4982.94,-4797.39,15.1687,2.80903,2.93684,6.06271,2022,2019-01-01,1
"15524","2019-029BE","Starlink57","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-25",6917,0,0.925025,0,0,0.735932,6917,0,0,0,4.56849,6.0626,5730.44,-3873.85,15.146,2.265,3.37423,6.06271,2022,2019-01-01,1
"15525","2019-029BF","Starlink58","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-14",6917,0,0.925025,0,0,0.803241,6917,0,0,0,4.56849,6.0626,6356.91,-2726.6,15.133,1.58976,3.74009,6.06271,2022,2019-01-01,1
"15526","2019-029BG","Starlink59","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-12",6917,0,0.925025,0,0,1.39382,6917,0,0,0,4.56849,6.0626,6844.15,1001.14,15.0933,-0.601286,4.01921,6.06272,2022,2019-01-01,1
"15527","2019-029BH","Starlink60","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-11-09",6917,0,0.925025,0,0,3.33585,6917,0,0,0,4.56849,6.0626,4552.38,-5207.74,15.1749,3.05095,2.68467,6.06271,2022,2019-01-01,1
"15528","2019-029BI","Starlink61","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-08-13",6917,0,0.925025,0,0,3.22447,6917,0,0,0,4.56849,6.0626,5458.8,4248.07,15.056,-2.50628,3.1991,6.06271,2022,2019-01-01,1
"15529","2019-029BJ","Starlink62","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-09-06",6917,0,0.925025,0,0,4.51591,6917,0,0,0,4.56849,6.0626,6704.52,1701.19,15.0899,-1.01232,3.93584,6.06271,2022,2019-01-01,1
"15530","2019-029BK","Starlink63","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-08-18",6917,0,0.925025,0,0,6.27925,6917,0,0,0,4.56849,6.0626,5803.56,3763.42,15.0588,-2.22219,3.40258,6.06271,2022,2019-01-01,1
"15531","2019-029BL","Starlink64","plat","+","LEO","comms","USA","AFETR",2019-05-23,"2029-05-22",95.41,227,1,1,53,550,550,2.4,3,3,"3","EA0","2022-10-28",6917,0,0.925025,0,0,3.11085,6917,0,0,0,4.56849,6.0626,5523.11,-4164.13,15.1536,2.43594,3.25298,6.06271,2022,2019-01-01,1
